orderbook_timestamp,book,bid,ask,spread
2024-05-28T23:08:33+00:00,btc_mxn,1148290.0,1150090.0,0.15650949056160823
2024-05-28T23:08:34+00:00,usd_mxn,16.782,16.791,0.05360014293371652
2024-05-28T23:08:35+00:00,btc_mxn,1148290.0,1150090.0,0.15650949056160823
2024-05-28T23:08:35+00:00,usd_mxn,16.782,16.791,0.05360014293371652
2024-05-28T23:08:37+00:00,btc_mxn,1148290.0,1150080.0,0.15564134668892599
2024-05-28T23:08:37+00:00,usd_mxn,16.782,16.791,0.05360014293371652
2024-05-28T23:08:39+00:00,btc_mxn,1148290.0,1150070.0,0.15477318771900841
2024-05-28T23:08:39+00:00,usd_mxn,16.782,16.791,0.05360014293371652
2024-05-28T23:08:41+00:00,btc_mxn,1148290.0,1150070.0,0.15477318771900841
2024-05-28T23:08:41+00:00,usd_mxn,16.782,16.791,0.05360014293371652
2024-05-28T23:08:43+00:00,btc_mxn,1148290.0,1150070.0,0.15477318771900841
2024-05-28T23:08:43+00:00,usd_mxn,16.782,16.791,0.05360014293371652
2024-05-28T23:08:44+00:00,btc_mxn,1148290.0,1150070.0,0.15477318771900841
2024-05-28T23:08:45+00:00,usd_mxn,16.782,16.791,0.05360014293371652
2024-05-28T23:08:46+00:00,btc_mxn,1148290.0,1150070.0,0.15477318771900841
2024-05-28T23:08:47+00:00,usd_mxn,16.782,16.791,0.05360014293371652
2024-05-28T23:08:49+00:00,btc_mxn,1148290.0,1150050.0,0.15303682448589193
2024-05-28T23:08:49+00:00,usd_mxn,16.78,16.791,0.06551128580786869
2024-05-28T23:08:51+00:00,btc_mxn,1148290.0,1150050.0,0.15303682448589193
2024-05-28T23:08:51+00:00,usd_mxn,16.782,16.791,0.05360014293371652
2024-05-28T23:08:53+00:00,btc_mxn,1148290.0,1150050.0,0.15303682448589193
2024-05-28T23:08:53+00:00,usd_mxn,16.782,16.791,0.05360014293371652
